Learning_outcome,Remember,Understand,Apply,Analyze,Evaluate,Create
An opportunity to demonstrate their ability to work with state-of-the-art geological data sets in digital form.,,,1,,,
An opportunity to develop team work skills.,,,,,,1
an organisation'global business strategy and develop recommendations.,,,,,,1
an organisation's marketing strategy and develop recommendations,,,,,,1
an organisation's strategy and develop recommendations,,,,,,1
an organisation's use of business analytics and develop recommendations,,,,,,1
An understanding applied theatre in theory and application,,1,,,,
an understanding of a range of empirical methods and data analysis techniques used in social research;,,1,,,,
"An understanding of a range of practices and techniques in contemporary writing through reading, analysis and practice;",,1,,,,
An understanding of contemporary debates relevant to global criminal justice issues from an African perspective;,,1,,,,
An understanding of development theories and models;,,1,,,,
An understanding of economic analysis as a key tool in explaining and understanding the disparate levels of wealth observed in the modern world,,1,,,,
An understanding of event marketing and communication techniques and the implications of contemporary digital technologies;,,1,,,,
An understanding of event research techniques;,,1,,,,
"An understanding of global inequalities and how these impact on different groups of people, especially in the African context;",,1,,,,
An understanding of how an events strategy can be developed within a broader destination marketing strategy.,,1,,,,
"An understanding of how development has affected particular cultures and places, with an emphasis on the continent of Africa;",,1,,,,
An understanding of how sociologists understand the link between the individual and society;,,1,,,,
An understanding of how structural factors influence the ways in which people experience everyday life;,,1,,,,
"An understanding of how trauma operates as both an internal psychological experience and as an external, social, and global phenomenon.",,1,,,,
An understanding of Jewish responses to the Holocaust across Europe,,1,,,,
"An understanding of key historical, social, cultural, and economic dimensions of the crime and justice context relevant to the Asia region;",,1,,,,
An understanding of key issues facing the future development of the industry in emerging economies;,,1,,,,
An understanding of key problems and issues in the current and future development of the global tourism industry;,,1,,,,
